"","agegroup","covid_numbers","policies_UK","rp_mean_norm","dospert_beta","objectiverisk_totalscore","numeracy_total","numeracy3","risktaking_mean","rp_individual_mean","rp_other_mean","risktaking_enforced","risktaking_recommendations"
"189","younger",2,3,0.888888888888889,-0.999999999999997,1,9,0,1.1,0.791666666666667,1,1,1.16666666666667
"190","younger",1,3,0.527777777777778,-1.07042253521127,0,10,1,1.55555555555556,0,0.833333333333333,1,1.83333333333333
"191","younger",4,4,0.597222222222222,-0.231578947368421,2,8,0,1.8,0.5,0.5,1.5,2
"192","younger",3,3,0.819444444444444,NA,0,9,0,2,0.791666666666667,0.833333333333333,1,2.5
"193","younger",7,7,0.527777777777778,-0.170731707317073,0,11,1,2.44444444444444,0.5,0.541666666666667,1.66666666666667,2.83333333333333
"194","younger",7,5,0.611111111111111,-0.000000000000000344232245324959,1,9,0,2.125,0.375,0.625,1.5,2.33333333333333
"195","younger",3,7,0.291666666666667,0.282608695652174,0,10,1,3.22222222222222,0.208333333333333,0.458333333333333,3,3.33333333333333
"196","younger",7,4,0.777777777777778,-1.42857142857143,0,11,1,2.22222222222222,0.708333333333333,0.791666666666667,1.33333333333333,2.66666666666667
"197","younger",2,3,0.652777777777778,-0.899999999999998,2,10,1,1.4,0.5,0.541666666666667,1.5,1.33333333333333
"198","younger",1,6,0.652777777777778,-1.33333333333333,2,8,1,1.71428571428571,0.208333333333333,0.75,1,1.83333333333333
"199","younger",3,6,0.805555555555556,-0.666666666666669,1,11,1,2,0.791666666666667,0.916666666666667,1.5,2.33333333333333
"200","younger",2,6,0.666666666666667,-0.0714285714285717,1,10,1,1.875,0.416666666666667,0.666666666666667,1,2.16666666666667
"201","younger",7,7,0.708333333333333,-0.740837696335079,0,5,0,2.2,0.5,0.75,1.25,2.83333333333333
"202","younger",2,3,0.611111111111111,-0.324626865671641,0,11,1,1.8,0.5,0.708333333333333,1.25,2.16666666666667
"203","younger",2,3,0.5,-0.673913043478263,1,11,1,2,0.291666666666667,0.5,2,2
"204","younger",1,4,0.916666666666667,-0.457142857142857,0,11,1,1.75,0.75,1,1.5,1.83333333333333
"205","younger",3,3,0.861111111111111,-0.749999999999997,0,9,0,1.55555555555556,0.666666666666667,1,1.5,1.6
"206","younger",2,5,0.736111111111111,-1.10869565217391,0,10,1,1.6,0.75,0.75,1.5,1.66666666666667
"207","younger",1,5,0.652777777777778,-0.998823529411765,1,10,1,2.5,0.333333333333333,0.791666666666667,1.75,3
"208","younger",2,4,0.611111111111111,-0.296296296296297,1,0,0,1.5,0.291666666666667,0.75,1.5,1.5
"209","younger",3,6,0.777777777777778,-0.5,1,9,0,1.8,0.5,0.833333333333333,1,2.33333333333333
"210","younger",7,5,0.597222222222222,0.461538461538461,0,9,0,2,0.5,0.75,2.25,1.83333333333333
"211","younger",4,5,0.861111111111111,-3.25,1,10,0,1.5,0.75,0.833333333333333,1.25,1.66666666666667
"212","younger",5,6,0.638888888888889,-0.106524633821571,1,11,1,2.22222222222222,0.0833333333333333,0.916666666666667,1.33333333333333,2.66666666666667
"213","younger",2,6,0.763888888888889,0.101694915254237,0,11,1,1.55555555555556,0.625,0.75,1.66666666666667,1.5
"214","younger",3,5,0.652777777777778,-1.157805907173,1,11,1,1.7,0.208333333333333,0.75,1.25,2
"215","younger",2,3,0.972222222222222,NA,0,10,1,1.6,1,1,1,2
"216","younger",6,3,0.597222222222222,-0.272727272727273,1,10,1,3.11111111111111,0.416666666666667,0.708333333333333,2.33333333333333,3.5
"217","younger",3,6,0.694444444444444,-1.33333333333334,0,10,1,2.5,0.583333333333333,0.708333333333333,1.75,3
"218","younger",5,3,0.777777777777778,-0.333333333333333,2,10,1,1.8,0.625,0.833333333333333,1.25,2.16666666666667
"219","younger",7,4,0.694444444444444,-0.739130434782608,2,9,1,1.7,0.583333333333333,0.666666666666667,1.25,2
"220","younger",6,6,0.666666666666667,-0.877094972067039,0,9,0,2.11111111111111,0.333333333333333,0.833333333333333,1.33333333333333,2.5
"221","younger",6,6,0.805555555555556,0.399999999999999,0,11,1,2.88888888888889,0.583333333333333,1,1.66666666666667,3.5
"222","younger",3,5,0.722222222222222,-0.294117647058824,2,11,1,1.66666666666667,0.5,0.833333333333333,1,2
"223","younger",1,3,0.555555555555556,-1.07692307692308,1,11,1,2.1,0.208333333333333,0.625,1.5,2.5
"224","younger",2,6,0.583333333333333,0.0416666666666659,2,8,0,1.6,0.208333333333333,0.833333333333333,1.25,1.83333333333333
"225","younger",3,7,0.819444444444444,-0.144859813084112,1,11,1,1.7,0.708333333333333,0.833333333333333,1,2.16666666666667
"226","younger",5,5,0.888888888888889,NA,0,11,1,1.6,0.916666666666667,0.916666666666667,1.25,1.83333333333333
"227","younger",4,4,0.680555555555556,-0.000000000000000176635401601924,1,9,0,1.2,0.5,0.666666666666667,1,1.33333333333333
"228","younger",2,5,0.902777777777778,-1.22727272727273,0,8,1,2,0.708333333333333,1,1.33333333333333,2.33333333333333
"229","younger",1,7,0.680555555555556,-0.398996235884567,1,10,1,2.2,0.291666666666667,0.916666666666667,1.25,2.83333333333333
"230","younger",1,6,0.583333333333333,0.106382978723405,1,11,1,1.8,0.583333333333333,0.583333333333333,1.5,2
"231","younger",1,7,0.777777777777778,-0.0078864353312302,1,10,1,2.2,0.583333333333333,0.916666666666667,1,3
"232","younger",5,5,0.541666666666667,-0.610251450676982,1,10,1,2.5,0.416666666666667,0.666666666666667,1.5,3.16666666666667
"233","older",5,7,0.541666666666667,-0.236425339366516,2,11,1,1.3,0.458333333333333,0.708333333333333,1.5,1.16666666666667
"234","older",3,6,0.430555555555556,-1.11934156378601,2,11,1,2.77777777777778,0.416666666666667,0.416666666666667,1,3.66666666666667
"235","older",1,7,0.791666666666667,NA,2,5,0,1.375,0.625,0.75,1,1.6
